금리,,,,,,,환율,,,물가상승률,,
항목,중앙은행 정책 금리(%),할인율(%),시중 금리(%),예금금리(%),대출금리(%),정부채(%),USD 비율(자국화폐/US$ 기말),,,Year,Inflation Rate (%),Annual Change
1985. 04 월,,5,9.8,,,14.8,865.900 (Won/US$),,,,,
1985. 05 월,,5,9.5,,,14.6,871.000 (Won/US$),,,,,
1985. 06 월,,6.58,9.1,,,13.7,873.800 (Won/US$),,,,,
1985. 07 월,,5,9.5,,,13.1,876.300 (Won/US$),,,,,
1985. 08 월,,5,9.5,,,12.9,886.800 (Won/US$),,,,,
1985. 09 월,,6.08,9.5,,,12.8,891.700 (Won/US$),,,,,
1985. 10 월,,5,9.5,,,12.3,892.200 (Won/US$),,,,,
1985. 11 월,,5,9.2,,,11.8,889.100 (Won/US$),,,,,
1985. 12 월,,5.42,8.5,,,11.9,890.200 (Won/US$),,,,,
1986. 01 월,,5,8.9,,,11,888.700 (Won/US$),,,,,
1986. 02 월,,5,9.5,,,11,883.800 (Won/US$),,,,,
1986. 03 월,,5,9.6,,,11.2,885.200 (Won/US$),,,,,
1986. 04 월,,5,11,,,11.5,885.100 (Won/US$),,,,,
1986. 05 월,,5,10.2,,,12.2,889.800 (Won/US$),,,,,
1986. 06 월,,5,9.9,,,11.5,886.600 (Won/US$),,,,,
1986. 07 월,,7,10.6,,,12.2,885.000 (Won/US$),,,,,
1986. 08 월,,7,9.4,,,11.6,880.200 (Won/US$),,,,,
1986. 09 월,,7,9.5,,,11.7,877.000 (Won/US$),,,,,
1986. 10 월,,7,9.5,,,11.1,873.200 (Won/US$),,,,,
1986. 11 월,,7,9.3,,,11.7,865.000 (Won/US$),,,,,
1986. 12 월,,7,9,,,12.1,861.400 (Won/US$),,,,,
1987. 01 월,,7,8.7,,,11.7,857.200 (Won/US$),,,,,
1987. 02 월,,7,8.8,,,11.7,854.800 (Won/US$),,,,,
1987. 03 월,,7,8.9,,,12.1,846.900 (Won/US$),,,,,
1987. 04 월,,7,8.5,,,13,834.100 (Won/US$),,,,,
1987. 05 월,,7,8.3,,,12.1,822.700 (Won/US$),,,,,
1987. 06 월,,7,9,,,12.3,808.900 (Won/US$),,,,,
1987. 07 월,,7,9,,,11.8,808.000 (Won/US$),,,,,
1987. 08 월,,7,10,,,12.6,807.700 (Won/US$),,,,,
1987. 09 월,,7,8.6,,,12.7,805.800 (Won/US$),,,,,
1987. 10 월,,7,9.4,,,13.4,801.400 (Won/US$),,,,,
1987. 11 월,,7,8.7,,,13,796.400 (Won/US$),,,,,
1987. 12 월,,7,9.2,,,12.7,792.300 (Won/US$),,,,,
1988. 01 월,,7,9.3,,,12.8,781.600 (Won/US$),,,,,
1988. 02 월,,7,9.2,,,12.4,760.800 (Won/US$),,,,,
1988. 03 월,,7,9.4,,,13.3,746.200 (Won/US$),,,,,
1988. 04 월,,7,9.5,,,12.3,740.000 (Won/US$),,,,,
1988. 05 월,,7,9.4,,,12.1,732.900 (Won/US$),,,,,
1988. 06 월,,7,9.6,,,12.1,728.300 (Won/US$),,,,,
1988. 07 월,,7,9.8,,,13.15,723.800 (Won/US$),,,,,
1988. 08 월,,7,10.5,,,14.2,722.000 (Won/US$),,,,,
1988. 09 월,,8,10.6,,,14.3,719.000 (Won/US$),,,,,
1988. 10 월,,8,9.5,,,13.5,701.400 (Won/US$),,,,,
1988. 11 월,,8,9.3,,,13.2,687.500 (Won/US$),,,,,
1988. 12 월,,8,9.3,,,13.1,684.100 (Won/US$),,,,,
1989. 01 월,,8,9.3,,,12.3,680.600 (Won/US$),,,,,
1989. 02 월,,8,12.2,,,12.5,673.100 (Won/US$),,,,,
1989. 03 월,,8,13.6,,,12.7,671.900 (Won/US$),,,,,
1989. 04 월,,8,13,,,15.8,666.300 (Won/US$),,,,,
1989. 05 월,,8,14.2,,,15.9,666.700 (Won/US$),,,,,
1989. 06 월,,8,13,,,16,667.200 (Won/US$),,,,,
1989. 07 월,,8,14.2,,,15.9,667.400 (Won/US$),,,,,
1989. 08 월,,8,12.4,,,15.8,669.200 (Won/US$),,,,,
1989. 09 월,,8,13.2,,,15.2,670.000 (Won/US$),,,,,
1989. 10 월,,8,15.1,,,15.1,671.600 (Won/US$),,,,,
1989. 11 월,,7,15.4,,,14.9,672.700 (Won/US$),,,,,
1989. 12 월,,7,13.7,,,14.8,679.600 (Won/US$),,,,,
1990. 01 월,,7,11.8,,,14.7,686.300 (Won/US$),,,,,
1990. 02 월,,7,11.6,,,14.3,694.000 (Won/US$),,,,,
1990. 03 월,,7,12.2,,,14,702.100 (Won/US$),,,,,
1990. 04 월,,7,15,,,14.3,707.000 (Won/US$),,,,,
1990. 05 월,,7,15.2,,,14.9,712.300 (Won/US$),,,,,
1990. 06 월,,7,14.8,,,14.9,716.000 (Won/US$),,,,,
1990. 07 월,,7,14.7,,,14.7,715.100 (Won/US$),,,,,
1990. 08 월,,7,14.6,,,14.6,714.000 (Won/US$),,,,,
1990. 09 월,,7,14.2,,,15.6,712.900 (Won/US$),,,,,
1990. 10 월,,7,14.3,,,16.3,713.800 (Won/US$),,,,,
1990. 11 월,,7,14.9,,,16,713.100 (Won/US$),,,,,
1990. 12 월,,7,15,,,16,716.400 (Won/US$),,,,,
1991. 01 월,,7,13.4,,,16,719.000 (Won/US$),,,,,
1991. 02 월,,7,14.2,,,16,724.400 (Won/US$),,,,,
1991. 03 월,,7,14.5,,,16,724.700 (Won/US$),,,,,
1991. 04 월,,7,15,,,16.3,725.100 (Won/US$),,,,,
1991. 05 월,,7,15.8,,,16.2,723.000 (Won/US$),,,,,
1991. 06 월,,7,19.2,,,16.4,723.100 (Won/US$),,,,,
